dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share
spec06,429.mcf,4,0.29628703120254246,0,0,0,0,0,0,0,0,0,0,0,0
spec06,433.milc,3,1.1895871718232247,0,0,0,0,0,0,0,0,0,0,0,0
spec06,436.cactusADM,1,2.25658,0,0,0,0,0,0,0,0,0,0,0,0
spec06,450.soplex,1,0.72503600000000001,0,0,0,0,0,0,0,0,0,0,0,0
spec06,459.GemsFDTD,4,1.1396662960209727,0,0,0,0,0,0,0,0,0,0,0,0
spec06,471.omnetpp,1,0.53495999999999999,0,0,0,0,0,0,0,0,0,0,0,0
spec06,473.astar,2,0.38322356545494429,0,0,0,0,0,0,0,0,0,0,0,0
spec06,483.xalancbmk,2,0.92723238822853893,0,0,0,0,0,0,0,0,0,0,0,0
spec17,602.gcc_s,1,0.547288,0,0,0,0,0,0,0,0,0,0,0,0
spec17,605.mcf_s,5,0.37866740064919863,0,0,0,0,0,0,0,0,0,0,0,0
spec17,620.omnetpp_s,2,0.5998943261041898,0,0,0,0,0,0,0,0,0,0,0,0
spec17,623.xalancbmk_s,3,0.94455419690688913,0,0,0,0,0,0,0,0,0,0,0,0
spec17,649.fotonik3d_s,1,0.95358299999999996,0,0,0,0,0,0,0,0,0,0,0,0
gap,gap.bc.twitter-10B,1,0.17975800000000003,0,0,0,0,0,0,0,0,0,0,0,0
gap,gap.cc.twitter-10B,1,0.77998400000000001,0,0,0,0,0,0,0,0,0,0,0,0
gap,gap.pr.twitter-10B,1,0.036629599999999998,0,0,0,0,0,0,0,0,0,0,0,0
ligra,ligra_BellmanFord,1,0.56179199999999996,0,0,0,0,0,0,0,0,0,0,0,0
ligra,ligra_CF,1,1.60006,0,0,0,0,0,0,0,0,0,0,0,0
ligra,ligra_Components,1,0.46830699999999997,0,0,0,0,0,0,0,0,0,0,0,0
ligra,ligra_PageRank,3,0.54534666313572278,0,0,0,0,0,0,0,0,0,0,0,0
ligra,ligra_PageRankDelta,2,0.65527866419562297,0,0,0,0,0,0,0,0,0,0,0,0
ligra,ligra_Radii,2,0.33013000919486252,0,0,0,0,0,0,0,0,0,0,0,0
spec06,gmean_spec06,18,0.71555399757854732,0,0,0,0,0,0,0,0,0,0,0,0
spec17,gmean_spec17,12,0.57221316800545508,0,0,0,0,0,0,0,0,0,0,0,0
gap,gmean_gap,3,0.17253161960773408,0,0,0,0,0,0,0,0,0,0,0,0
ligra,gmean_ligra,10,0.56292203783326933,0,0,0,0,0,0,0,0,0,0,0,0
