,value
num_traces,99.0
discard_stlb_data_demand_mpki_amean,30.06980284136246
translation_only_stlb_data_demand_mpki_amean,29.877314461223346
translation_only_vs_discard_ipc_pct_geomean,0.8299668369486257
cross_requested_mpki_amean,87.33826177096243
pq_drop_rate_pct_weighted,80.02806616946371
reach_stlb_pct_of_requested_weighted,0.32394088453546926
trigger_page_walk_pct_of_requested_weighted,0.27493983398293215
useful_pct_of_requested_weighted,0.21865443869477416
combined_fill_productivity_pct_weighted,37.08364112254829
useful_vs_discard_miss_pct_weighted,0.6350855966101205
demand_miss_reduction_pct_weighted,0.6401384861237331
too_early_among_useless_pct_weighted,10.235437358067252
combined_local_pollution_candidates_per_fill_pct_weighted,47.20918381557676
cross_pq_drop_rate_pct_n,99.0
cross_pq_drop_rate_pct_amean,54.497816171717176
cross_pq_drop_rate_pct_median,69.7488
cross_pq_drop_rate_pct_p25,23.48765
cross_pq_drop_rate_pct_p75,83.82355000000001
reach_stlb_pct_of_requested_n,99.0
reach_stlb_pct_of_requested_amean,1.2191645875055617
reach_stlb_pct_of_requested_median,0.6427967299703696
reach_stlb_pct_of_requested_p25,0.10229570576932484
reach_stlb_pct_of_requested_p75,1.4135065226570935
trigger_page_walk_pct_of_requested_n,99.0
trigger_page_walk_pct_of_requested_amean,0.7901916406974259
trigger_page_walk_pct_of_requested_median,0.5029196452779781
trigger_page_walk_pct_of_requested_p25,0.09160798424035158
trigger_page_walk_pct_of_requested_p75,0.6931704391068108
useful_pct_of_requested_n,99.0
useful_pct_of_requested_amean,0.4952935427884421
useful_pct_of_requested_median,0.21065685319246596
useful_pct_of_requested_p25,0.030221619390361915
useful_pct_of_requested_p75,0.5601324348072032
combined_fill_productivity_pct_n,99.0
combined_fill_productivity_pct_amean,28.951427321461587
combined_fill_productivity_pct_median,24.726574224143107
combined_fill_productivity_pct_p25,13.712463608109374
combined_fill_productivity_pct_p75,46.849435966295104
useful_vs_discard_miss_pct_n,99.0
useful_vs_discard_miss_pct_amean,5.188255454425314
useful_vs_discard_miss_pct_median,0.4161852191879761
useful_vs_discard_miss_pct_p25,0.1062316772761065
useful_vs_discard_miss_pct_p75,2.985162074857962
demand_miss_reduction_pct_n,99.0
demand_miss_reduction_pct_amean,5.231685953052674
demand_miss_reduction_pct_median,0.43496890743818056
demand_miss_reduction_pct_p25,0.1059003327817016
demand_miss_reduction_pct_p75,2.8591619205600383
too_early_among_useless_pct_n,99.0
too_early_among_useless_pct_amean,14.588109326960963
too_early_among_useless_pct_median,8.601134215500945
too_early_among_useless_pct_p25,3.1641954227731164
too_early_among_useless_pct_p75,20.74028122415219
combined_local_pollution_candidates_per_fill_pct_n,99.0
combined_local_pollution_candidates_per_fill_pct_amean,51.454157765087196
combined_local_pollution_candidates_per_fill_pct_median,53.22825826066085
combined_local_pollution_candidates_per_fill_pct_p25,37.344981496606316
combined_local_pollution_candidates_per_fill_pct_p75,62.65192620354637
