level,dataset,workload,label,aggregation,num_traces,stlb_coverage_pct_logged,stlb_coverage_pct_logged_n
workload,gap,bc,bc,trace_equal_amean,11,0.06885309945454544,11
workload,gap,bfs,bfs,trace_equal_amean,18,0.4883553500000001,18
workload,gap,cc,cc,trace_equal_amean,18,0.5443822223333333,18
workload,gap,pr,pr,trace_equal_amean,8,0.029274137500000002,8
workload,gap,sssp,sssp,trace_equal_amean,10,0.044689531,10
workload,gap,tc,tc,trace_equal_amean,6,0.04803001166666666,6
workload,xsbench,xsbench_XL100hash,XL100hash,trace_equal_amean,2,1.26866305,2
workload,xsbench,xsbench_XL100nuclide,XL100nuclide,trace_equal_amean,4,0.0038952025,4
workload,xsbench,xsbench_XL100unionized,XL100unionized,trace_equal_amean,1,2.54717,1
workload,xsbench,xsbench_XL64hash,XL64hash,trace_equal_amean,2,0.44565689999999997,2
workload,xsbench,xsbench_XL64nuclide,XL64nuclide,trace_equal_amean,1,0.00370653,1
workload,xsbench,xsbench_XL64unionized,XL64unionized,trace_equal_amean,1,2.5398,1
workload,xsbench,xsbench_XXL100hash,XXL100hash,trace_equal_amean,3,0.69216176,3
workload,xsbench,xsbench_XXL100nuclide,XXL100nuclide,trace_equal_amean,7,0.3017956171428572,7
workload,xsbench,xsbench_XXL100unionized,XXL100unionized,trace_equal_amean,1,0.25645799999999996,1
workload,xsbench,xsbench_XXL64hash,XXL64hash,trace_equal_amean,2,0.13153834,2
workload,xsbench,xsbench_XXL64nuclide,XXL64nuclide,trace_equal_amean,3,0.09085971333333333,3
workload,xsbench,xsbench_XXL64unionized,XXL64unionized,trace_equal_amean,1,0.257479,1
benchmark,gap,,amean_gap,trace_equal_amean,71,0.28613984332394365,71
benchmark,xsbench,,amean_xsbench,trace_equal_amean,28,0.49191230928571433,28
all,all,,amean_all,trace_equal_amean,99,0.34433811652525254,99
